Player,Tm,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Amir Johnson\johnsam01,PHI,11000000,,,,,,Cap space,11000000
Alec Burks\burksal01,UTA,10845506,11536515,,,,,1st Round Pick,22382021
Kelly Olynyk\olynyke01,MIA,10607169,11137527,11667885,12198243,,,Cap space,33412581
Omer Asik\asikom01,NOP,10595505,11286516,11977527,,,,Bird Rights,24882021
Joe Johnson\johnsjo02,UTA,10505000,,,,,,Cap Space,10505000
Terrence Ross\rosste01,ORL,10500000,10500000,,,,,Rookie scale extension,21000000
Mirza Teletovic\teletmi01,MIL,10500000,10500000,,,,,Cap Space,21000000
Bojan Bogdanovic\bogdabo02,IND,10500000,10500000,,,,,Cap space,12000000
Jon Leuer\leuerjo01,DET,10497319,10002681,9508043,,,,Cap Space,30008043
Iman Shumpert\shumpim01,CLE,10337079,11011234,,,,,Bird Rights,10337079
Maurice Harkless\harklma01,POR,10162922,10837079,11511234,,,,Cap Space,32511235
Jared Dudley\dudleja01,PHO,10000000,9530000,,,,,Cap Space,19530000
Danny Green\greenda02,SAS,10000000,10000000,,,,,Bird Rights,10000000
Meyers Leonard\leoname01,POR,9904495,10595506,11286515,,,,Cap Space,31786516
Al Jefferson\jeffeal01,IND,9769821,10000000,,,,,Cap Space,13769821
Matthew Dellavedova\dellama01,MIL,9607500,9607500,9607500,,,,Cap Space,28822500
Bogdan Bogdanovic\bogdabo01,SAC,9470614,9000000,8529386,,,,Cap space,27000000
Andre Roberson\roberan03,OKC,9259259,10000000,10740741,,,,Bird Rights,30000000
Trevor Booker\booketr01,BRK,9125000,,,,,,Cap Space,9125000
Dwight Powell\poweldw01,DAL,9003125,9631250,10259375,,,,Cap Space,18634375
Jerryd Bayless\bayleje01,PHI,9000000,8575916,,,,,Cap Space,17575916
Avery Bradley\bradlav01,DET,8808989,,,,,,Bird Rights,8808989
E'Twaun Moore\mooreet01,NOP,8445024,8808685,8664928,,,,Cap Space,25918637
Rudy Gay\gayru01,SAS,8406000,8826300,,,,,MLE,8406000
Kosta Koufos\koufoko01,SAC,8393000,8739500,,,,,Cap Space,8393000
Markieff Morris\morrima02,WAS,8000000,8600000,,,,,Bird Rights,16600000
Vince Carter\cartevi01,SAC,8000000,,,,,,Cap space,8000000
Garrett Temple\templga01,SAC,8000000,8000000,,,,,Cap Space,8000000
Cristiano Felicio\feliccr01,CHI,7843500,8470980,8156500,7529020,,,Cap space,32000000
Shaun Livingston\livinsh01,GSW,7692308,8307692,7692308,,,,Bird Rights,18000000
Cory Joseph\josepco01,IND,7630000,7945000,,,,,Cap Space,7630000
P.J. Tucker\tuckepj01,HOU,7590385,7742193,7894000,8045808,,,MLE,25226578
Corey Brewer\breweco01,LAL,7579366,,,,,,Cap Space,7579366
Andrew Wiggins\wiggian01,MIN,7574322,,,,,,1st Round Pick,7574322
Darrell Arthur\arthuda01,DEN,7464912,7464912,,,,,Cap Space,7464912
Trevor Ariza\arizatr01,HOU,7420912,,,,,,Bird Rights,7420912
Channing Frye\fryech01,CLE,7420912,,,,,,Cap Space,7420912
Al-Farouq Aminu\aminual01,POR,7319035,6957105,,,,,Cap Space,14276140
Cole Aldrich\aldrico01,MIN,7300000,6956021,,,,,Cap Space,9356021
D.J. Augustin\augusdj01,ORL,7250000,7250000,7250000,,,,Cap Space,21750000
Markelle Fultz\fultzma01,PHI,7026240,8339880,9745200,12288697,,,1st Round Pick,15366120
